ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains,bayesaverage
1210,Cults Across America,1998,2,6,180,12,389,5.68,12438,2.4,753,"Dice Rolling, Point to Point Movement",Thematic Games,5.51723
3892,Star Blazers Fleet Battle System,1997,2,6,180,12,37,7.04,12439,3.71,94,Hexagon Grid,Wargames,5.5214
31770,Joker Marbles,1970,2,6,20,0,63,6.48,12440,1.0,74,"Hand Management, Point to Point Movement, Roll / Spin and Move",Abstract Games,5.53014
18248,Diceland: Cyburg,2005,2,3,20,10,31,6.93,12441,2.33,142,"Dice Rolling, Variable Player Powers",Thematic Games,5.51848
302417,Mia London and the Case of the 625 Scoundrels,2020,2,4,15,5,43,6.58,12442,1.0,84,Memory,Unknown,5.55935
131894,Vietnam Battles: Snoopy's Nose & Iron Triangle,2013,1,3,120,0,32,7.11,12443,2.78,208,"Dice Rolling, Hexagon Grid, Simulation",Wargames,5.52997
197928,Dreamwars,2017,1,8,300,14,80,6.23,12444,3.0,282,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Variable Player Powers",Unknown,5.52343
21342,The Great Chili Cookoff,2006,2,7,30,8,182,5.83,12445,1.51,225,Trick-taking,Unknown,5.51993
252962,Sports Dice: Football,2018,2,4,20,7,34,6.95,12446,0.0,105,Dice Rolling,Unknown,5.52438
65554,Sounds Like a Plan,2010,4,8,30,10,89,6.04,12447,1.0,208,Unknown,Unknown,5.5201
97747,Electronic Taboo,2001,4,0,0,0,46,6.61,12448,1.0,161,Team-Based Game,Unknown,5.52275
192201,Wiener Walzer,2016,2,5,45,8,56,6.35,12449,2.0,89,"Set Collection, Tile Placement",Family Games,5.56807
2567,Who Stole Ed's Pants?,2001,3,4,60,10,287,5.68,12450,1.53,540,Take That,Unknown,5.52069
96703,Aether Captains: Clockwork Cabal,2011,1,1,20,10,77,6.24,12451,1.7,172,"Dice Rolling, Modular Board, Role Playing, Roll / Spin and Move, Tile Placement","Strategy Games, Thematic Games",5.5215
173666,Renaissance Wars,2015,2,4,90,12,116,6.43,12452,2.91,251,"Hand Management, Set Collection, Trick-taking, Variable Player Powers",Unknown,5.5231
166767,Imperial Harvest,2015,2,0,20,8,64,6.54,12453,2.2,214,"Action Points, Grid Movement, Modular Board, Set Collection, Variable Player Powers",Unknown,5.52422
172465,Tabletop Pathologic,2016,2,4,80,16,88,6.61,12454,3.25,125,"Area Movement, Point to Point Movement, Secret Unit Deployment, Team-Based Game, Variable Player Powers",Unknown,5.53079
111142,Zombie Town,2011,3,6,40,13,88,6.1,12455,1.0,222,Card Drafting,Unknown,5.52372
267404,Warlords of Erehwon Rulebook,2019,2,2,0,0,30,8.0,12456,3.0,77,"Dice Rolling, Line of Sight, Measurement Movement, Simulation",Unknown,5.5288
151448,Danmaku!!,2016,4,8,60,0,45,7.26,12457,2.5,71,"Hand Management, Player Elimination, Team-Based Game, Variable Player Powers",Unknown,5.53023
269756,3 Secrets: Crime Time,2019,2,8,15,14,41,6.7,12458,1.0,140,Cooperative Game,Unknown,5.52237
180202,Southern Rails,2015,3,5,60,14,56,6.3,12459,2.5,195,"Network and Route Building, Stock Holding",Strategy Games,5.54962
13960,Pirates & Plunder,2004,2,5,60,8,40,6.77,12460,2.0,99,Tile Placement,Unknown,5.51949
116402,"Sheep, Dogs and Wolves",2012,2,2,10,4,37,6.94,12461,1.0,62,Tile Placement,Abstract Games,5.51862
37633,Lightning: Poland,2008,2,2,30,0,81,6.13,12462,1.75,283,Hand Management,Wargames,5.52156
210097,Nisyros,2016,2,4,60,12,53,6.76,12463,2.33,97,"Cooperative Game, Dice Rolling, Modular Board, Worker Placement",Unknown,5.52651
38829,Greater East Asia War,2009,1,2,360,12,44,6.8,12464,2.78,266,Hexagon Grid,Wargames,5.52014
251445,The Perfect Moment,2019,1,2,30,8,92,6.25,12465,2.33,544,"Hand Management, Set Collection, Solo / Solitaire Game, Variable Player Powers",Unknown,5.50079
13593,Drive on Damascus,1981,2,2,1500,12,48,6.6,12466,2.75,202,"Dice Rolling, Hexagon Grid, Point to Point Movement, Simulation",Wargames,5.52218
218235,Ticket to Mars,2017,2,5,20,8,106,6.04,12467,1.0,209,"Hand Management, Worker Placement",Unknown,5.51411
147145,Primate Fear,2013,2,6,45,0,126,5.99,12468,1.0,223,"Dice Rolling, Player Elimination, Take That",Unknown,5.51708
292684,Mindburners,2020,1,4,60,13,33,7.27,12469,1.25,100,"Events, Push Your Luck, Solo / Solitaire Game, Take That",Unknown,5.55674
182276,Marvel Heroclix: Infinity Challenge - Premiere Edition,2002,2,5,60,8,51,6.5,12470,2.0,147,"Action Points, Dice Rolling, Variable Player Powers",Unknown,5.52564
181390,Buttons,2015,2,4,30,8,283,5.69,12471,1.18,125,"Dice Rolling, Push Your Luck, Set Collection",Unknown,5.51324
148939,A Night in Deepwail Manor,2013,1,2,15,10,43,6.72,12472,1.33,98,"Cooperative Game, Push Your Luck, Variable Player Powers",Unknown,5.52591
170980,Elven Castle,2013,2,4,30,8,34,7.03,12473,1.0,37,"Enclosure, Tile Placement",Unknown,5.52577
98046,Sake & Samurai,2011,3,8,45,13,181,5.98,12474,2.23,305,"Card Drafting, Hand Management",Party Games,5.51453
218489,Clutch Baseball,2017,2,2,60,13,57,8.44,12475,3.0,77,"Dice Rolling, Simulation",Unknown,5.5296
289018,On a Scale of One to T-Rex,2019,2,8,15,7,117,6.13,12476,1.0,550,Acting,Unknown,5.52327
36737,Army Ants,2008,2,2,20,0,53,6.44,12477,1.73,79,Unknown,Abstract Games,5.52007
3330,Peloton,1991,1,12,30,10,36,7.0,12478,2.4,106,Simulation,Unknown,5.52341
119782,Paiko,2012,2,2,35,8,30,8.02,12479,2.33,65,"Area Majority / Influence, Grid Movement, Tile Placement",Unknown,5.525
125608,The Current Number of the Beast,2012,2,6,60,13,141,6.08,12480,1.25,344,"Dice Rolling, Hand Management, Take That",Unknown,5.52073
287895,Grund,2019,2,4,60,8,45,7.46,12481,2.5,58,"Area Majority / Influence, Auction/Bidding, Hand Management, Modular Board, Set Collection",Unknown,5.51929
198060,Lex in Lemniscate,2016,2,8,20,14,44,6.72,12482,3.75,40,"Pattern Building, Pattern Recognition",Unknown,5.51525
204407,Toire o Yogoshita nowa Dareda?,2016,5,8,30,13,44,6.51,12483,1.5,94,Team-Based Game,Unknown,5.51627
308386,LANTERN,2019,1,1,20,7,55,6.99,12484,1.33,106,"Dice Rolling, Paper-and-Pencil, Re-rolling and Locking, Solo / Solitaire Game",Unknown,5.55294
152985,Omertà: Clan ohne Plan,2013,4,9,20,12,33,7.12,12485,1.25,47,"Card Drafting, Cooperative Game, Player Elimination",Unknown,5.52228
7723,"Yeoman: Tactical Warfare in the Renaissance Age, 1250-1550",1975,2,2,90,12,58,6.4,12486,2.14,224,Hexagon Grid,Wargames,5.52993
257814,Cats,2018,2,5,30,10,56,6.3,12487,1.5,121,"Grid Movement, Hand Management, Modular Board",Unknown,5.51511
10561,Warsaw Pact,1976,2,2,180,12,46,6.89,12488,3.0,171,Hexagon Grid,Wargames,5.52913
38038,UNO Flash,2007,3,6,10,7,123,5.98,12489,1.0,268,Hand Management,Unknown,5.53411
125609,Pixel Lincoln: The Deckbuilding Game,2013,1,4,45,10,286,5.76,12490,1.79,598,Deck Bag and Pool Building,Unknown,5.51217
275087,Auf der Walz,2019,2,4,150,10,54,6.26,12491,2.63,152,"Action Points, Hand Management, Network and Route Building, Point to Point Movement, Tile Placement",Unknown,5.5304
234616,Rory's Story Cubes: Strange,2017,1,12,20,6,42,6.78,12492,0.0,203,"Cooperative Game, Dice Rolling, Storytelling",Unknown,5.51992
217298,Anansi and the Box of Stories,2017,3,8,40,0,68,6.29,12493,2.0,273,"Card Drafting, Trick-taking, Variable Player Powers",Unknown,5.52581
172932,Flashlights & Fireflies,2015,2,5,20,6,119,5.94,12494,1.0,338,Unknown,Unknown,5.51444
24079,Katoiz,2004,1,4,5,9,43,6.64,12495,2.5,87,"Modular Board, Pattern Building, Set Collection",Abstract Games,5.51613
264212,Curators,2021,1,4,75,14,40,7.18,12496,2.33,22,"Pattern Building, Pattern Recognition, Pick-up and Deliver, Tile Placement",Unknown,5.62081
297663,Monster's Coffee,2020,2,5,15,8,35,6.82,12497,1.5,64,"Deduction, Push Your Luck, Set Collection",Unknown,5.53338
247952,Constantinople,2019,1,1,0,0,30,7.45,12498,3.5,152,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation, Solo / Solitaire Game",Wargames,5.54076
12202,Battle of the Atlantic,2000,1,1,60,12,36,6.72,12499,1.86,128,"Area Movement, Solo / Solitaire Game",Wargames,5.52038
69815,Arnhem '44: The Operation Market Garden Boardgame,2010,2,3,180,14,32,7.13,12500,2.88,91,Area Movement,"Strategy Games, Wargames",5.52257
181083,European Union: The Board Game,2015,3,7,90,12,34,6.92,12501,2.6,88,"Trading, Trick-taking, Voting",Unknown,5.51812
34305,Legends of the High Seas,2008,2,8,45,0,31,6.66,12502,2.0,88,"Dice Rolling, Modular Board, Variable Player Powers",Unknown,5.52166
242317,Postcard Dungeons,2018,1,6,60,10,75,6.4,12503,1.5,501,"Dice Rolling, Solo / Solitaire Game, Time Track",Unknown,5.5167
168834,Rocca Rails,2014,2,10,10,7,48,6.42,12504,2.0,107,"Hand Management, Tile Placement",Unknown,5.5254
5346,Skittle-Bowl,1967,1,8,30,0,83,6.21,12505,1.2,160,Unknown,Children's Games,5.5224
228742,Bushido Breaker,2017,2,4,60,12,37,6.81,12506,2.0,138,"Campaign / Battle Card Driven, Cooperative Game, Hand Management, Point to Point Movement",Unknown,5.52048
208543,"Dwarves: Dig, Delve, Die",2017,2,6,30,13,67,6.31,12507,2.0,202,"Dice Rolling, Worker Placement",Unknown,5.51044
8747,Chinese Farm: Egyptian-Israeli Combat in the '73 War,1975,2,2,90,12,84,6.21,12508,2.33,181,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Simulation, Zone of Control",Wargames,5.52313
129308,Border War: Angola Raiders,2012,1,1,60,0,65,6.23,12509,1.7,253,"Point to Point Movement, Solo / Solitaire Game",Wargames,5.52872
26306,Vietnam Solitaire,2006,1,1,60,12,44,6.88,12510,2.36,107,"Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Simulation, Solo / Solitaire Game",Wargames,5.52201
218905,L'Arbre,2017,2,4,45,10,59,6.34,12511,1.0,90,Tile Placement,Unknown,5.51599
104239,bezzerwizzer kompakt,2010,2,4,0,16,52,6.41,12512,2.0,146,Betting and Bluffing,Unknown,5.52119
3238,Rally: Risk and Evaluation on All Roads in the Worlds,1980,2,6,120,10,47,6.56,12513,1.75,115,"Modular Board, Variable Player Powers",Unknown,5.52262
21061,Go/Stop,2005,2,6,10,9,76,6.09,12514,1.0,124,Simultaneous Action Selection,Unknown,5.51977
284118,Mechanical Beast,2019,1,4,40,10,32,7.06,12515,2.0,77,"Map Addition, Map Deformation, Network and Route Building, Solo / Solitaire Game, Tile Placement",Unknown,5.60562
15159,Coloretto,1993,1,4,15,3,41,6.65,12516,1.5,47,"Dice Rolling, Tile Placement",Children's Games,5.51624
282287,Rescue Animals,2019,2,5,15,8,55,6.31,12517,0.0,161,"Dice Rolling, Set Collection",Unknown,5.519
4296,Battles & Leaders: A Game of Tactical Level Combat in the American Civil War 1861-1865,1981,2,4,180,12,50,6.64,12518,3.25,193,"Critical Hits and Failures, Dice Rolling, Events, Grid Movement, Hexagon Grid, Modular Board, Scenario / Mission / Campaign Game, Simulation",Wargames,5.51947
625,Business,1998,2,6,45,8,79,6.09,12519,2.0,120,"Auction/Bidding, Set Collection, Simultaneous Action Selection",Unknown,5.52082
146188,Mauna Kea,2013,2,4,45,10,210,5.74,12520,1.64,265,"Grid Movement, Hand Management, Tile Placement",Unknown,5.52864
84864,Insidious Sevens,2010,2,5,30,9,74,6.33,12521,1.78,177,Trick-taking,Unknown,5.51597
117986,Card Goblins,2012,2,5,60,12,52,6.76,12522,1.5,87,Take That,Party Games,5.5188
17209,Cineplexity,2007,4,10,20,12,326,5.7,12523,1.13,519,Unknown,Party Games,5.52255
